id,title,link,content,gold_label
0,عطا اللّٰہ عیسیٰ خیلوی سے بوہیمیا کی ملاقات، عقیدت سے پیروں میں بیٹھ گئے,https://www.express.pk/story/2733602/ataullahesakhelvi-se-bohemia-ki-mulaqat-aqeedat-se-paron-me-bath-gaye,"مشہور پاکستانی لوک گلوکار عطا اللّٰہ عیسیٰ خیلوی سے لندن میں پنجابی ریپر، گلوکار، اور میوزک پروڈیوسر بوہیمیا نے ملاقات کی۔ اس ملاقات کے دوران بوہیمیا نے عطا اللّٰہ عیسیٰ خیلوی کے لیے اپنی بے پناہ عقیدت کا اظہار کیا اور ان کے پیروں میں بیٹھ کر عزت دی۔ یہ جذباتی منظر مداحوں کے لیے یادگار بن گیا۔ ملاقات کی تصویر عطا اللہ خان عیسی خیلوی نے اپنے انسٹاگرام پر پوسٹ کی جس کے نیچے نامور بھارتی گلوکار گرو رندھاوا نے لکھا کہ دونوں میری پسندیدہ سپر سٹارز ہیں۔ بھارتی گلوکار کے کمنٹ پر عطاء اللہ عیسیٰ خیلوی نے جواب میں ان کے لیے نیک خواہشات کا اظہار کیا۔ بوہیمیا ان دنوں لندن کے دورے پر ہیں، جہاں ان کی برطانوی پاکستانی سوشل میڈیا اسٹار اور شوقین گلوکار چاہت فتح علی خان سے بھی ویڈیو کال پر گفتگو ہوئی۔ اس ویڈیو کال کے دوران چاہت فتح علی خان نے بوہیمیا کو اپنا منفرد انداز میں مشہور گانا ""بدو بدی"" کا نیا ورژن سنایا، جس پر بوہیمیا نے داد دیتے ہوئے مزاحیہ انداز میں اعلان کیا، ""ہمارا نیا گانا آ رہا ہے، بوہیمیا بوم!"" چاہت فتح علی خان نے اس موقع پر بوہیمیا کو اپنے مخصوص انداز میں ایک شعر بھی سنایا، جسے سن کر ریپر نے خوب انجوائے کیا۔",entertainment
1,"اجے دیوگن کا سوشل میڈیا پر طنز: ""اصل ناظرین کے پاس وقت نہیں!""",https://www.express.pk/story/2733596/ajaydevgan-ka-socialmedia-par-tanz-asal-nazrin-ke-pas-waqt-nahi-hai,"ہندوستان ٹائمز لیڈرشپ سمٹ 2024 میں بالی وڈ کے سپر اسٹارز اجے دیوگن اور اکشے کمار نے فلم انڈسٹری میں بدلتے رجحانات اور باکس آفس کے جنون پر کھل کر بات کی۔ دونوں اداکاروں نے او ٹی ٹی پلیٹ فارمز کے اثرات، اسٹارز کی فیسز، اور عوام کی فلموں کے کلیکشن پر بڑھتی ہوئی توجہ جیسے موضوعات پر اپنے خیالات کا اظہار کیا۔ اجے دیوگن نے کہا کہ عام فلم بین باکس آفس نمبرز کی زیادہ پرواہ نہیں کرتے بلکہ یہ سوشل میڈیا اور کچھ مخصوص حلقے ہیں جو اس جنون کو بڑھاوا دے رہے ہیں۔ انہوں نے کہا، ""ناظرین کو صرف فلم پسند آتی ہے یا نہیں۔ وہ کلیکشن کے بارے میں زیادہ فکر نہیں کرتے۔ یہ سب ہائپ زیادہ تر سوشل میڈیا پر ہوتی ہے، جہاں لوگ ٹریلرز پر لاکھوں تبصرے کرتے ہیں۔ لیکن حقیقی ناظرین کے پاس ان سب چیزوں کا وقت نہیں ہوتا۔"" اکشے کمار نے اس مسئلے کا ایک دلچسپ حل پیش کرتے ہوئے کہا، ""میں اجے سے کہہ رہا تھا، سوچیں اگر سوشل میڈیا پر تبصرہ کرنے کے لیے پانچ روپے کا چارج لگ جائے تو سب کچھ نارمل ہو جائے گا!"" اس تجویز پر سامعین نے قہقہے لگائے۔ اجے دیوگن اور اکشے کمار دونوں نے اس بات پر زور دیا کہ فلموں کو صرف ان کے مواد اور معیار کی بنیاد پر پرکھا جانا چاہیے، نہ کہ باکس آفس نمبروں کی بنیاد پر جانچنا چاہئے۔",entertainment
2,گورنر سندھ نے فنکاروں میں 30 لاکھ روپے کے وظائف تقسیم کر دیے,https://www.express.pk/story/2733586/governor-sindh-ne-fankaro-me-30lac-ke-wazaif-taqsim-kardie,"گورنر سندھ کامران خان ٹیسوری کی ہدایت پر 10 فنکاروں میں تقریباً 30 لاکھ روپے کے وظائف کے چیک تقسیم کیے گئے۔ یہ چیک گورنر سندھ کی سربراہی میں قائمدی لیجنڈری ٹرسٹکے ذریعے فراہم کیے گئے، جو فنکاروں اور ان کے اہل خانہ کو مستقل مالی معاونت فراہم کر رہا ہے۔ دی لیجنڈری ٹرسٹ اب تک سینکڑوں فنکاروں کی مدد کر چکا ہے اور اس کے دائرہ کار کو مزید وسعت دی جا رہی ہے تاکہ زیادہ سے زیادہ مستحق افراد تک امداد پہنچ سکے۔ اس موقع پر گورنر سندھ نے کہا، ""فنکار ہماری ثقافتی شناخت کے محافظ ہیں، اور ان کی فلاح و بہبود کے لیے ہر ممکن اقدامات کیے جائیں گے۔"" گورنر نے مزید کہا کہ حکومت فنکاروں کے لیے اس طرح کے منصوبے جاری رکھے گی تاکہ ان کے مالی مسائل کا مستقل حل ممکن بنایا جا سکے۔ ٹرسٹ کے تحت آئندہ بھی اس نوعیت کی امداد جاری رہنے کا امکان ہے۔",entertainment
3,زندگی پر بھروسہ نہیں، چھ پروجیکٹس پر کام شروع کردیا، عامر خان کا انکشاف,https://www.express.pk/story/2733585/zindagi-par-bharosa-nahi-6projects-par-kam-start-kardia,"معروف بالی وڈ اداکار عامر خان نے حالیہ انٹرویو میں انکشاف کیا کہ انہوں نے اپنی زندگی کے آخری 10 فعال سالوں کو مدنظر رکھتے ہوئے چھ پروجیکٹس پر بیک وقت کام شروع کیا ہے۔ 59 سالہ اداکار کا کہنا ہے کہ زندگی کا کچھ بھروسہ نہیں، ""ہم کل مر سکتے ہیں، اس لیے میں اپنی زندگی کے آخری 10 سال سب سے زیادہ مصروف بنانا چاہتا ہوں۔"" عامر خان نے بتایا کہ 2022 میں فلم لال سنگھ چڈھا کی ناکامی کے بعد انہوں نے کچھ وقت کے لیے اداکاری سے وقفہ لیا تھا اور اپنی فیملی پر توجہ دی۔ لیکن اس وقفے کے بعد انہوں نے فیصلہ کیا کہ اب وہ زیادہ پروجیکٹس پر کام کریں گے اور ان 10 سالوں کو مزیدار اور کارآمد بنائیں گے۔ عامر نے انٹرویو میں بتایا کہ جب ان کی سابقہ اہلیہ کرن راؤ نے انہیں 97 سالہ اداکار کلنٹ ایسٹ وڈ کی مثال دی، جو اب بھی فلم انڈسٹری میں متحرک ہیں، تو عامر نے جواب دیا کہ یہ ایک استثنائی کیس ہے۔ ""میں 70 سال کی عمر تک کام کرنا چاہتا ہوں اور اس دوران نئی صلاحیتوں کو پلیٹ فارم دینا چاہتا ہوں۔"" ریٹائرمنٹ کے بارے میں بات کرتے ہوئے، عامر نے مزاحیہ انداز میں کہا کہ جب انہوں نے اپنی ریٹائرمنٹ کی خواہش گھر والوں کے ساتھ شیئر کی، تو ان کی بیٹی نے کہا: ""پلیز پاپا، آپ سب وقت ہمارے ساتھ نہ گزاریں، ہم پاگل ہو جائیں گے!"" عامر نے ریٹائرمنٹ کے خوابوں کو بھی شیئر کیا، جن میں کتابیں پڑھنا اور یوگا کرنا شامل ہیں۔ ان کے یہ بیانات ان کے مداحوں کے لیے دلچسپی کا باعث بنے ہیں، جو ان کے آنے والے پروجیکٹس کا بے صبری سے انتظار کر رہے ہیں۔",entertainment
4,"دلجیت دوسانجھ کا کنسرٹس میں رونے والی خواتین کا دفاع: ""موسیقی ایک جذبہ ہے!""",https://www.express.pk/story/2733580/diljitdoshanj-ka-concerts-me-rone-wali-women-ka-difa-music-aik-emotion-hai,"معروف پنجابی گلوکار اور اداکار دلجیت دوسانجھ نے حال ہی میں انٹرنیٹ پر خواتین مداحوں کے جذباتی ہونے پر تنقید کرنے والوں کو بھرپور جواب دیا۔ جے پور کنسرٹ کے دوران ایک خاتون مداح کی جذباتی ویڈیو وائرل ہونے کے بعد دلجیت نے انسٹاگرام پر ایک ویڈیو شیئر کی، جس میں انہوں نے خواتین کے جذبات اور آزادی کا دفاع کیا۔ دلجیت نے ویڈیو میں کہا: ""موسیقی ایک جذبہ ہے، اس میں مسکراہٹ، بھنگڑا، گِدّا اور یہاں تک کہ رونا بھی شامل ہے۔ میں خود کئی بار موسیقی سن کر رو چکا ہوں۔ صرف وہی لوگ روتے ہیں جن کے اندر جذبات ہوتے ہیں۔ کسی کو لڑکیوں کو روکنا نہیں چاہیے۔ وہ آزاد ہیں، نہ صرف مرد بلکہ خواتین بھی کماتی ہیں اور انجوائے کرتی ہیں۔"" A post shared by DILJIT DOSANJH (@diljitdosanjh) انسٹاگرام پر شیئر کی گئی پوسٹ میں دلجیت نے لکھا: ""جو عورت اپنی قدر جانتی ہے، اسے کسی منظوری کی ضرورت نہیں ہوتی۔ وہ اپنی روشنی خود بناتی ہے۔"" یہ ردعمل اس وقت سامنے آیا جب برطانوی-امریکی انفلوئنسر اینڈریو ٹیٹ نے دلجیت پر نسل پرستانہ تبصرہ کیا تھا۔ ٹیٹ نے ایک وائرل ویڈیو کے بعد، جس میں دلجیت نے اپنے مداح کو جیکٹ دی تھی، ""کری"" کہہ کر توہین کی تھی۔ اس بیان پر بھارتی کمیونٹی نے شدید غم و غصہ ظاہر کیا۔ دلجیت نے ٹیٹ کے بیان پر براہِ راست جواب تو نہیں دیا، لیکن ان کے مداحوں نے سوشل میڈیا پر شدید ردعمل دیا۔ ایک صارف نے کہا: ""دلجیت آپ سے لاکھوں گنا بہتر انسان ہیں۔"" دوسرے نے لکھا: ""اب بھی وہ جنسی ہراسانی کرنے والے سے بہتر خوشبو رکھتے ہیں!"" دلجیت اپنے موسیقی کے سفر پر توجہ مرکوز کیے ہوئے ہیں۔ ان کا ""دل-لومیناتی انڈیا ٹور"" نومبر اور دسمبر میں نو شہروں میں پرفارم کرے گا، جس میں وہ اپنی توانائی اور جذباتی گانے مداحوں تک پہنچائیں گے۔",entertainment
5,عابدہ عثمانی کے نرگس کے حج کے حوالے سے تنقیدی بیان نے تنازع کھڑا کر دیا,https://www.express.pk/story/2733572/abidausmani-ke-nargis-ke-hajj-ke-hawale-se-tanqidibayan-ne-tanaza-khara-kardia,اداکارہ عابدہ عثمانی کی جانب سے اداکارہ نرگس کے حج کے حوالے سے تنقیدی بیان نے تنازع کھڑا کر دیا ہے۔ عابدہ عثمانی نے کہا تھا کہ نرگس کا حج قبول نہیں ہوگا، جس پر نرگس نے جامعہ نعیمہ سے رجوع کیا۔ جامعہ نعیمہ کے دارالافتاء نے فتوی جاری کرتے ہوئے عابدہ عثمانی کے بیان کو خلافِ شرع قرار دیا۔ فتوی میں کہا گیا کہ کسی کی عبادت کے قبول ہونے یا نہ ہونے کا فیصلہ صرف اللہ کے پاس ہے اور کسی کو جہنمی کہنا شرعی طور پر ناجائز ہے۔ مزید یہ کہا گیا کہ سچے دل سے کی گئی توبہ قبول ہوتی ہے۔ اس تنازع کے بعد سول سوسائٹی کے ارکان نے لاہور کے مال روڈ پر چیئرنگ کراس کے مقام پر احتجاجی مظاہرہ کیا۔ مظاہرین نے نرگس کے حق میں نعرے بلند کیے اور ہاتھوں میں پلے کارڈز اٹھا رکھے تھے جن پر نرگس کی حمایت میں کلمات درج تھے۔ یہ معاملہ سوشل میڈیا اور عوامی حلقوں میں زیر بحث ہے، جہاں تنقید اور حمایت کی مختلف آراء سامنے آ رہی ہیں۔,entertainment
6,مشہور میک اپ آرٹسٹ ہدہ کتن کی فلسطینی گلوکارہ نیماحص سے جذباتی ملاقات,https://www.express.pk/story/2733567/famousmakeup-artist-huddakuttan-ki-pelestiniansinger-se-emotinal-mulaqat,"فلسطینی فنکاروں کو اکثر تنازعات اور سنسرشپ کا سامنا کرنا پڑتا ہے، لیکن مشہور میک اپ آرٹسٹ ہدہ کتن نے ثابت کر دیا کہ وہ اپنے مؤقف پر قائم رہیں گی۔ نومبر کے آغاز میں، ہدہ کتن نے انسٹاگرام پر اعلان کیا کہ وہ فلسطینی گلوکارہ نیماحص سے ملاقات کریں گی، اور یہ موقع ان دونوں کے لیے جذباتی ثابت ہوا۔ انسٹاگرام پر شیئر کی گئی ایک ویڈیو میں، نیماحص نے ہدہ کی حمایت کا ذکر کرتے ہوئے کہا کہ 2021 سے وہ میری موسیقی کی مداح رہی ہیں۔ نیماحص کو فلسطین کے حق میں آواز اٹھانے پر اپنے میوزک لیبل سے ہاتھ دھونا پڑا تھا، لیکن وہ ان کی طاقت اور ہمت کو سراہتی ہیں۔ کنسرٹ میں ہدہ نیماحص کی پرفارمنس سے بہت متاثر ہوئیں اور گلوکارہ کو گلے لگاتے ہوئے جذباتی مناظر دیکھنے کو ملے۔ نیماحص نے انسٹاگرام پر ہدہ کے بارے میں ایک جذباتی پیغام لکھا، جس میں انہوں نے کہا: ""آپ ہر عورت کے لیے ایک مثال ہیں۔"" ہدہ نے نیماحص کی حمایت کرتے ہوئے کہا: ""آپ ہمیں بے مثال طاقت فراہم کرتی ہیں، اور میں آپ سے بےحد محبت کرتی ہوں۔"" نیماحص نے جواب میں لکھا: ""آپ کی محبت اور الفاظ میرے لیے قیمتی ہیں۔"" یہ ملاقات سوشل میڈیا پر خواتین کی یکجہتی اور فلسطینی فنکاروں کے لیے امید کی ایک کرن بن گئی۔",entertainment
7,انتخابی ریلی میں گووندا کی طبیعت خراب، ایئر لفٹ کر کے ممبئی اسپتال منتقل,https://www.express.pk/story/2733565/electionrally-main-govinda-ki-tabiat-kharab-airlift-karke-mumbai-shift,ابتدائی طور پر گووندا نے ہلکی جسمانی تکلیف کی شکایت کی لیکن بعد میں صورتحال بگڑنے پر انہیں فوری طور پر ایئر لفٹ کر کے ممبئی کے اسپتال منتقل کیا گیا، جہاں ان کا علاج جاری ہے۔ ان کے اہل خانہ بھی اس ایمرجنسی کے دوران ان کے ساتھ موجود تھے۔ گووندا ان دنوں بھارتیہ جنتا پارٹی (بی جے پی)، شیو سینا، اور نیشنلسٹ کانگریس پارٹی (این سی پی) کے مہایوتی اتحاد کے لیے فعال انتخابی مہم چلا رہے ہیں۔ انتخابی ریلیوں میں وہ وزیر اعظم نریندر مودی کی حمایت میں ووٹ ڈالنے کی اپیل کر رہے تھے۔ یہ واقعہ ایسے وقت پیش آیا ہے جب کچھ ہفتے قبل گووندا گولی لگنے کے حادثے کا شکار ہوئے تھے۔ یکم اکتوبر کو اپنے گھر میں ریوالور صاف کرتے ہوئے ان کے پاؤں پر گولی چل گئی تھی۔ اس حادثے کے بعد بھی انہیں اسپتال لے,entertainment
8,سال 2024 کا مس یونیورس کا تاج ڈنمارک کی حسینہ نے جیت لیا,https://www.express.pk/story/2733534/danish-girl-won-miss-universe-competition-2024,سال 2024 کا مس یونیورس کا تاج ڈنمارک کی حسینہ نے جیت لیا۔ ہفتہ کی شب میکسیکو سٹی میں سالانہ مقابلہ حسن کے فائنل مقابلوں کا انعقاد ہوا جس میں مختلف ممالک کی حسیناؤں نے شرکت کی، مقابلے کا آغاز جمعرات کو ہوا تھا جس کے بعد 120 حسیناؤں میں سے 30 کو شارٹ لسٹ کیا گیا۔ بعد ازاں پانچ فائنل امیدواروں میں سے ڈنمارک کی 21 سالہ ’وکٹوریہ کجر تھیل ویگ‘ کو مس یونیورس 2024 قرار دیا گیا، وہ یہ مقابلہ جیتنے والی پہلی ڈینش حسینہ ہیں۔ نائیجیریا کی چیڈیما ایڈیٹشینا دوسرے، میکسیکو کی ماریا فرنینڈا تیسرے اور تھائی لینڈ کی سچتا چوانگسری چوتھے نمبر پر رہیں۔ وینزویلا کی 28 سالہ الیانا مارکیز پیڈروزا (جو ایک ماں بھی ہیں) نے پانچویں پوزیشن حاصل کرکے تاریخ رقم کی، جبکہ مالٹا کی بیٹریس نجویا پہلی خاتون بن گئیں جو چالیس سال سے زائد عمر میں گرینڈ فائنل تک پہنچیں۔ یاد رہے کہ اس سال مس یونیورس کی 72 سالہ تاریخ میں پہلی بار 28 سال سے زیادہ عمر کی خواتین کو بھی مقابلے میں حصہ لینے کی اجازت دی گئی۔ مس یونیورس آرگنائزیشن نے مقابلہ حسن کیلئے عمر کی حد، حاملہ خواتین یا ماؤں اور یا شادی شدہ خواتین پر پابندی کو گزشتہ سال ختم کردیا تھا۔ مقابلے میں بیلاروس، اریٹیریا اور متحدہ عرب امارات سمیت کئی ممالک نے پہلی بار شرکت کی۔ A post shared by Miss Universe (@missuniverse),entertainment
9,دلجیت دوسانجھ نے تلنگانہ حکومت کی وارننگ کا جواب دے دیا,https://www.express.pk/story/2733530/diljit-dosanjh-ne-tilingana-govt-ki-warning-ka-jawab-de-dia,بھارتی پنجابی گلوکار دلجیت دوسانجھ نے تلنگانہ حکومت کی جانب سے شراب اور تشدد پر اکسانے والے گانوں سے روکنے پر اپنا ردعمل دے دیا۔ گلوکار نے ہفتہ کی رات حیدرآباد میں کنسرٹ کیا جو انکے دل لومیناٹی ٹور کا حصہ تھا۔ کنسرٹ سے پہلے تلنگانہ حکومت نے ان کے لیے ایک انتباہ جاری کیا تھا جس میں ان پر شراب اور تشدد کی حوصلہ افزائی پر مشتمل گانے گانے پر پابندی لگائی گئی تھی۔ گزشتہ روز گلوکار نے کنسرٹ میں تلنگانہ حکومت کی وارننگ پر طنز کیا جس کی ویڈیو انٹرنیٹ پر وائرل ہوئی ہے۔ مزید پڑھیں: دلجیت دوسانجھ نے 10 شہروں پر مشتمل نئے ’دل لومناٹی‘ ٹور کا اعلان کردیا دلجیت نے کہا کہ جب دوسرے ممالک سے فنکار یہاں آتے ہیں تو انہیں جو چاہے کرنے کی اجازت ہوتی ہے لیکن جب آپ کے اپنے ملک کا کوئی فنکار گاتا ہے تو لوگوں کو پریشانی ہوتی ہے، کچھ لوگوں کو میری کامیابی ہضم نہیں ہورہی۔ بھارت گلوکار حیدرآباد میں کامیاب شو پر انتہائی خوش نظر آئے انہوں نے سوشل میڈیا پر پوسٹ میں لکھا کہ ’’ شکریہ حیدرآباد، کل انرجی ساری مون پر تھی‘‘۔ A post shared by DILJIT DOSANJH (@diljitdosanjh) بھارتی گلوکار ان دنوں دل لومناٹی ٹور کے نام سے بھارت کے 10 شہروں پر مشتمل ایک بڑی کنسرٹ سیریز میں مصروف ہیں۔ یہ ٹور 26 اکتوبر کو دہلی کے مشہور جواہر لعل نہرو اسٹیڈیم سے شروع ہوا تھا، وہ احمد آباد، لکھنؤ، پونے، کولکتہ، بنگلور، اندور، چندی گڑھ اور گوہاٹی میں بھی کنسرٹ کریں گے۔,entertainment
